Estat;Longitude;Latitude;mu_SON;sigma_SON;Area;Prec-med_SON;IEB_SON;Coe-compa;Compr-rios;Compr-talv;Dens-dren;Difer-cota;Fator-form;Freq-1ordem;Elev-med;Decli-med;Perimetro;Raz-alonga;Raz-area;Raz-bifur;Raz-circu;Raz-compr;Raz-decliv;Num-rios;Diam-topo;Area-SIG;Reg_hid
E84520000;686823,3;6915993,24;-3,6459357783;0,5322333289;380;449,4;0,6061746427;5,4756364512;324,7205;38,152560011;0,8797966785;1060;9,6739470247;0,4199565016;796,7768;12,92;118,700721768;0,5681919411;3,8454;3,9944;0,3291777963;2,1911;1,8016;224;46;369,0858444014;3
E84520010;682409,4;6912964,09;-3,6778042862;0,6287527576;676;443,6;0,5130061534;4,935946885;527,6345;43,289586684;0,8500187571;1527;14,3390782942;0,3882508071;751,5027;12,76;138,7643400951;0,6494174555;3,9456;4,249;0,405096779;2,2191;1,7746;354;52;620,7327727848;3
E84551000;665792,38;6886307,61;-3,6338816251;0,8449208608;379;397,82;0,4846982052;5,1062588607;356,1795;38,167409129;0,9363379135;1525;9,9665220239;0,3811813915;449,7677;9,7;112,376639885;0,5766078287;3,9646;3,8768;0,3785245836;2,033;2,5664;222;50;380,3963236804;3
E84559800;681370,84;6904309,39;-4,2256344482;0,9245656454;1515;429,29;0,4857150328;5,4566857525;893,8138;84,680234727;0,8651130127;1702;12,2009081559;0,3794126931;601,8956;11,29;197,9115356352;0,4283118713;3,5748;4,6553;0,3314681909;2,7418;1,8734;578;92;1033,1757665219;3
E84560000;676956,94;6894962,31;-3,9171768989;0,7305418254;1690;413,63;0,4548637473;5,4358217156;1504,011;101,953349152;0,8928321218;1725;16,5226502206;0,3906111964;512,5576;10,35;251,745007497;0,454249194;3,9104;3,9718;0,334017589;2,037;2,069;982;119;1684,5395268577;3
E84580000;670725,56;6882499,55;-3,9618683153;0,6578697785;2740;402,56;0,5031053215;6,045368024;2476,3901;122,539852494;0,9052089765;1782;22,3250712676;0,3903921223;474,9181;10,61;356,7901921175;0,4816292005;4,026;4,2226;0,2700562646;2,214;2,1077;1595;144;2735,7109400465;3
E84598002;702055,57;6901626,43;-3,8573667301;0,4725880538;620;426,35;0,6465426823;5,3320494275;576,6362;27,463168476;0,9303862821;1228;22,567734477;0,4162757399;551,3858;11,52;149,7850705217;1,0228777233;3,3279;4,1796;0,3471453979;2,7147;1,9274;380;73;619,7814940641;3
E84800000;636452,94;6838447,12;-3,220601715;1,0317037138;119;419,77;0,4151887396;4,6039670795;110,2589;15,983607801;0,9388616971;1315;7,3474598151;0,4853587033;632,1017;22,6;56,2980413721;0,7650437329;3,4781;4,1368;0,4656239666;2,1434;2,5128;83;28;117,4389160176;3
E84820000;648136,79;6838706,76;-4,1186591101;1,3314946491;526;399,9;0,2004653729;5,553781791;414,6947;56,68803053;1,065963508;1458;6,8626962759;0,4909612542;258,0487;7,52;123,6052579644;0,3926058479;3,5554;3,9749;0,3199794746;2,5284;2,1024;301;79;389,0327360042;3
E84853000;625115,29;6822089,74;-4,452715408;1,6316599256;355;441,15;0,1836315804;6,114431537;379,5148;50,45049565;1,048709088;1376;7,173122505;0,5554210974;383,2183;13,13;131,2496000022;0,4254773686;4,395;4,208;0,2639900585;2,5837;2,5424;302;69;361,8875857343;3
E84949000;610056,11;6811963,74;-4,7071112573;1,9822601271;359;467,12;0,1357250701;5,8805082971;410,8508;2,874503198;1,0951114186;1281;130,5157830991;0,6370478749;481,6602;14,15;128,5235879845;7,6033534219;3,1068;4,2017;0,2854105426;2,032;2,117;348;49;375,1680359078;3
E84970000;590756,13;6763843,61;-3,4590801795;1,2309184851;339;435,9;0,2367180595;5,4378430538;300,0926;38,247805425;0,8841623207;1015;8,8739455949;0,3535557974;603,7586;15,1;113,0429206685;0,5435133045;3,7428;5,2917;0,3337693151;2,5456;3,4354;172;51;339,4089444651;3
E86100000;579701,61;6803041,13;-3,8702957361;0,9415988545;1820;445,99;0,3181293776;5,8065016413;1638,8783;123,090269823;0,90009513;679;14,7922612787;0,3833514671;989,0135;7,53;279,5752738213;0,3911654443;3,8368;4,0134;0,292732296;2,2401;1,7981;995;122;1820,7834320875;3
